Family_size,Pin_code,Pin_code_instances,Feedback
3,560009,16,Positive
5,560010,7,Positive
3,560085,6,Positive
4,560024,6,Positive
2,560038,5,Positive
2,560034,5,Positive
2,560009,5,Positive
4,560036,5,Positive
1,560009,5,Positive
3,560095,5,Positive
2,560103,4,Positive
4,560009,4,Positive
3,560008,4,Negative 
4,560038,4,Positive
5,560043,4,Positive
2,560076,4,Positive
2,560080,4,Positive
3,560092,4,Negative 
2,560027,4,Positive
4,560010,3,Positive
3,560042,3,Positive
2,560001,3,Positive
4,560048,3,Positive
2,560009,3,Negative 
5,560078,3,Positive
3,560004,3,Positive
3,560001,3,Positive
3,560012,3,Positive
2,560066,3,Positive
2,560023,3,Positive
6,560030,3,Positive
4,560076,3,Positive
3,560036,3,Positive
4,560034,3,Negative 
3,560043,3,Positive
2,560075,3,Positive
5,560075,3,Negative 
3,560075,3,Positive
6,560076,3,Positive
5,560038,3,Positive
3,560080,3,Negative 
3,560096,3,Positive
6,560095,3,Positive
2,560095,3,Positive
3,560017,2,Negative 
6,560019,2,Positive
4,560021,2,Positive
4,560003,2,Positive
5,560009,2,Positive
4,560029,2,Positive
2,560003,2,Positive
4,560020,2,Positive
3,560028,2,Positive
3,560064,2,Positive
5,560011,2,Positive
3,560029,2,Positive
5,560022,2,Positive
5,560007,2,Positive
3,560066,2,Positive
1,560029,2,Positive
2,560021,2,Positive
3,560002,2,Positive
3,560005,2,Positive
2,560007,2,Positive
3,560010,2,Positive
2,560011,2,Positive
3,560018,2,Positive
2,560029,2,Positive
4,560038,2,Negative 
2,560046,2,Negative 
3,560049,2,Positive
4,560011,2,Positive
5,560045,2,Positive
2,560041,2,Negative 
5,560061,2,Positive
2,560062,2,Positive
2,560070,2,Positive
3,560070,2,Positive
2,560096,2,Positive
1,560097,2,Negative 
6,560093,2,Negative 
3,560093,2,Positive
1,560091,2,Negative 
2,560100,2,Positive
2,560018,2,Negative 
2,560014,2,Positive
3,560015,2,Positive
6,560041,2,Positive
4,560001,1,Positive
5,560004,1,Positive
6,560068,1,Positive
4,560078,1,Negative 
1,560038,1,Positive
4,560032,1,Positive
4,560033,1,Positive
3,560008,1,Positive
5,560050,1,Positive
3,560098,1,Positive
3,560048,1,Positive
5,560066,1,Positive
4,560034,1,Positive
2,560102,1,Positive
5,560008,1,Negative 
4,560078,1,Positive
4,560025,1,Negative 
3,560026,1,Positive
2,560002,1,Positive
2,560086,1,Positive
1,560076,1,Positive
5,560102,1,Positive
4,560086,1,Positive
3,560076,1,Positive
1,560096,1,Positive
6,560046,1,Positive
4,560030,1,Positive
4,560004,1,Positive
4,560061,1,Positive
2,560022,1,Negative 
1,560066,1,Positive
1,560027,1,Positive
2,560030,1,Positive
2,560034,1,Negative 
5,560002,1,Positive
2,560010,1,Positive
4,560017,1,Negative 
2,560006,1,Positive
5,560034,1,Positive
5,560001,1,Positive
5,560002,1,Negative 
6,560002,1,Negative 
3,560003,1,Positive
1,560003,1,Positive
2,560003,1,Negative 
4,560047,1,Positive
5,560005,1,Negative 
3,560096,1,Negative 
2,560005,1,Positive
5,560005,1,Positive
3,560006,1,Negative 
3,560006,1,Positive
4,560073,1,Positive
5,560010,1,Negative 
3,560011,1,Negative 
4,560016,1,Positive
4,560013,1,Positive
5,560013,1,Negative 
5,560051,1,Positive
2,560015,1,Positive
2,560015,1,Negative 
1,560015,1,Positive
3,560016,1,Positive
1,560016,1,Positive
3,560017,1,Positive
2,560017,1,Positive
6,560017,1,Positive
2,560018,1,Positive
3,560018,1,Negative 
1,560018,1,Negative 
3,560109,1,Negative 
4,560066,1,Positive
2,560020,1,Positive
5,560020,1,Positive
1,560021,1,Positive
2,560023,1,Negative 
6,560024,1,Positive
3,560024,1,Negative 
2,560025,1,Positive
5,560025,1,Positive
2,560032,1,Negative 
5,560104,1,Positive
6,560041,1,Negative 
5,560055,1,Positive
3,560055,1,Positive
1,560041,1,Positive
2,560060,1,Positive
4,560060,1,Positive
3,560092,1,Positive
3,560100,1,Positive
6,560100,1,Positive
3,560103,1,Positive
6,560042,1,Positive
3,560079,1,Positive
6,560059,1,Negative 
3,560067,1,Positive
6,560067,1,Negative 
6,560067,1,Positive
3,560020,1,Negative 
4,560043,1,Positive
2,560068,1,Positive
3,560068,1,Negative 
2,560067,1,Positive
3,560038,1,Positive
2,560021,1,Negative 
3,560027,1,Positive
3,560056,1,Positive
2,560056,1,Positive
5,560072,1,Negative 
6,560036,1,Positive
4,560080,1,Positive
3,560068,1,Positive
2,560042,1,Positive
5,560023,1,Negative 
3,560014,1,Positive
6,560014,1,Positive
5,560015,1,Negative 
1,560009,1,Negative 
3,560005,1,Negative 
5,560015,1,Positive
1,560006,1,Positive
2,560006,1,Negative 
6,560012,1,Negative 
2,560046,1,Positive